Organoid_Num,Day,WAVE,Bio_Replicate,Dox
1,15,61,1,FALSE
2,15,61,1,FALSE
3,15,61,1,FALSE
4,15,61,1,TRUE
5,15,61,1,TRUE
6,15,61,1,TRUE
7,15,62,2,FALSE
8,15,62,2,FALSE
9,15,62,2,FALSE
10,15,62,2,TRUE
11,15,62,2,TRUE
12,15,62,2,TRUE
13,15,63,3,FALSE
14,15,63,3,FALSE
15,15,63,3,FALSE
16,15,63,3,TRUE
17,15,63,3,TRUE
18,15,63,3,TRUE
19,25,61,1,FALSE
20,25,61,1,FALSE
21,25,61,1,FALSE
22,25,61,1,TRUE
23,25,61,1,TRUE
24,25,61,1,TRUE
25,25,63,2,FALSE
26,25,63,2,FALSE
27,25,63,2,FALSE
28,25,63,2,TRUE
29,25,63,2,TRUE
30,25,63,2,TRUE
31,25,64,3,FALSE
32,25,64,3,FALSE
33,25,64,3,FALSE
34,25,64,3,TRUE
35,25,64,3,TRUE
36,25,64,3,TRUE
37,45,61,1,FALSE
38,45,61,1,FALSE
39,45,61,1,FALSE
40,45,61,1,TRUE
41,45,61,1,TRUE
42,45,61,1,TRUE
43,45,63,2,FALSE
44,45,63,2,FALSE
45,45,63,2,FALSE
46,45,63,2,TRUE
47,45,63,2,TRUE
48,45,63,2,TRUE
49,45,64,3,FALSE
50,45,64,3,FALSE
51,45,64,3,FALSE
52,45,64,3,TRUE
53,45,64,3,TRUE
54,45,64,3,TRUE